#filename,amp,shutter,mjd,chip,axis1,axis2,exptime,xc,yc,back,backrms,f2,f2err,f3,f3err,f8,f8err,f10,f10err,f12,f12err,f15,f15err,f20,f20err,f25,f25err,f30,f30err,f50,f50err,f60,f60err,m2,m2err,m3,m3err,m8,m8err,m10,m10err,m12,m12err,m15,m15err,m20,m20err,m25,m25err,m30,m30err,m50,m50err,m60,m60err
ibbsj1i0q,A,A,55229.2095022,1,512,513,6.0,264.766327636,211.998986751,0.171288,3.10677,69793.828003,264.76464082,85600.7985345,293.099446536,106127.517141,333.213609485,108548.793657,340.897300209,110963.619446,349.280907519,114323.284206,359.640304257,119030.283915,386.883685937,122087.215743,407.702523153,123752.804138,438.990187623,126479.267106,563.944729486,126747.653788,634.49663242,12.7999355788,0.00411863023942,12.5782835858,0.00371746612826,12.3449081159,0.00340882389001,12.3204156226,0.00340963898692,12.2965265903,0.00341746496,12.2641413957,0.00341541516273,12.2203344522,0.00352884664311,12.1928026521,0.0036256263745,12.1780905048,0.00385131997632,12.154429775,0.00484091034691,12.1521283037,0.00543499601951
ibbsj5c1q,D,B,55177.6903694,2,512,513,6.0,301.72768587,227.284352906,1.6405,2.44957,73151.9685134,270.534396833,91797.6972723,303.042222518,108154.958429,329.765401657,110491.147359,333.78650552,112986.029161,338.103708925,116071.696631,343.335656597,121247.990095,353.464461761,124442.324257,360.214768672,125830.629318,366.239244883,128695.339098,389.554151314,129773.745418,403.702819061,12.7489130823,0.00401519194371,12.5023986581,0.00358410886944,12.3243620392,0.0033103086699,12.3011594175,0.00327982845418,12.2769162614,0.00324889014603,12.2476622944,0.00321145923759,12.2002917557,0.00316505342344,12.172057841,0.00314270226534,12.1600122043,0.00316000921497,12.1355710796,0.00328635788248,12.1265110283,0.00337741774534
ibbsj5c2q,D,A,55177.6910639,2,512,513,6.0,303.287468081,231.246203639,1.59871,2.44165,74105.2212374,272.290916538,92298.8922405,303.868415984,108114.586167,329.7097785,110443.796928,333.724207582,112860.944991,337.9309644,115997.520627,343.244079674,120962.223325,353.092654296,124320.229092,360.09137164,125667.485357,366.087330484,128187.671511,389.087286437,129057.138135,403.071868123,12.7348561055,0.00398927691125,12.4964869042,0.00357436510044,12.3247674002,0.00331098623421,12.3016248041,0.00328062220106,12.2781189202,0.00325082913384,12.2483563596,0.00321265571272,12.2028537242,0.00316919352367,12.1731236216,0.00314471108239,12.1614208139,0.00316279914075,12.139862479,0.00329541883323,12.1325230502,0.00339086340783
ibbsj5c3q,D,B,55177.6917583,2,512,513,6.0,305.61782395,229.756791634,1.60686,2.45428,73835.9533628,271.796552459,92316.1414715,303.897275469,108637.282862,330.508523214,110942.139822,334.480872356,113409.858515,338.757599015,116592.309848,344.130099789,121565.155277,353.98645719,124819.841624,360.842418688,126315.560748,367.060469259,129135.408817,390.535865895,130229.4235,404.846554729,12.7388084089,0.00399655592656,12.4962840159,0.00357403663885,12.3195308887,0.00330303827748,12.2967367805,0.0032732907775,12.2728511044,0.00324300841272,12.2428033601,0.00320451708889,12.1974553531,0.00316145770304,12.168769058,0.00313865655389,12.1558359901,0.00315493632861,12.1318647715,0.00328341229944,12.1227053309,0.00337513514732
ibbsj5c4q,D,A,55177.6924528,2,512,513,6.0,304.084514847,225.880218514,1.57901,2.43615,75144.8807084,274.193478896,93561.8879839,305.939652782,109609.761036,331.970919822,111892.316371,335.889707178,114332.968714,340.105222687,117410.401319,345.300414412,122480.210436,355.244319457,125765.542124,362.104842919,127294.039794,368.320853268,130224.987546,391.745405826,131220.085602,405.813910845,12.7197296276,0.00396157206228,12.4817306838,0.00355014940574,12.3098550486,0.00328821835066,12.2874774644,0.00325916440835,12.2640494252,0.00322962173051,12.2352116947,0.00319301063378,12.1893133163,0.00314898836524,12.1605739579,0.00312595343142,12.1474579524,0.00314143498816,12.1227423145,0.00326602440223,12.1144773341,0.00335765794529
ibbsk1ieq,D,A,55229.2278585,2,512,513,6.0,261.103001234,219.139514312,1.60432,2.43933,73323.1967372,270.850851651,92031.9380355,303.428616215,107945.67622,329.450254005,110123.637355,333.239125741,112536.118729,337.442816531,115498.083785,342.50613399,120387.790448,352.259138596,123747.457193,359.268144971,125392.588122,365.670187797,128331.820546,389.164181,129110.761959,402.987784488,12.7463746484,0.00401050121548,12.4996317069,0.0035795448369,12.3264649977,0.00331355690472,12.304776757,0.00328537748576,12.2812482944,0.00325550294471,12.2530411786,0.00321961107479,12.2080220168,0.00317679845564,12.1781374168,0.00315204395988,12.16379846,0.00316612113075,12.1386422377,0.00329236778154,12.1320720156,0.00338874800969
ibbsk1ifq,D,B,55229.228553,2,512,513,6.0,262.614582812,223.076807392,1.45467,2.4433,72591.1520588,269.499810344,91626.5899651,302.763250217,108191.171222,329.871342627,110431.547055,333.776032645,112830.563127,337.985811718,115882.17076,343.209791338,120871.432933,353.229393719,124237.879241,360.351581686,125702.951065,366.711040585,128727.236539,391.279387878,129536.323204,405.749267519,12.7572689036,0.00403073839982,12.5044243163,0.00358749639035,12.3239985703,0.00331026379181,12.3017452352,0.00328149562609,12.2784112368,0.0032522322464,12.2494365709,0.00321553236372,12.2036689492,0.00317280223669,12.1738430527,0.00314906946758,12.1611144422,0.00316729379374,12.1353020107,0.00330009439215,12.1284992116,0.00340076025665
ibbsk1igq,D,A,55229.2292474,2,512,513,6.0,265.068403025,221.703772819,1.5901,2.45715,74332.4624006,272.70892529,92794.0435306,304.68301407,108695.458724,330.603368461,110965.453996,334.526295376,113418.425697,338.785278388,116573.573792,344.123022863,121586.617032,354.056733082,124949.1027,361.077913089,126366.01762,367.215893366,128991.177476,390.577629968,130006.200263,404.885390133,12.7315318263,0.00398318676154,12.4906778768,0.00356482308335,12.3189496267,0.00330221778675,12.2965086401,0.00327304747389,12.272769089,0.00324302840993,12.2429778489,0.00320496621807,12.1972636884,0.00316152718524,12.1676452718,0.00313745582617,12.1554023783,0.00315501194811,12.133078108,0.00328743516536,12.124567963,0.00338125464153
ibbsk1ihq,D,B,55229.2299418,2,512,513,6.0,263.484232355,217.768029988,1.50446,2.44052,74107.5717241,272.297283384,92799.4703774,304.692811191,109235.997487,331.432977411,111496.022891,335.338624748,113855.563257,339.458628659,116777.561364,344.457926696,121831.644016,354.479231329,124995.51007,361.250466194,126484.179094,367.543075443,129351.917852,391.473085633,130246.248115,405.784648507,12.7348216684,0.00398924365881,12.4906143819,0.00356472923569,12.313563679,0.00329412274207,12.2913296855,0.00326538234682,12.2685924856,0.00323699802269,12.2410796216,0.00320248142404,12.1950778642,0.00315893382678,12.1672420932,0.00313778975684,12.1543876098,0.0031548729641,12.1300459454,0.00328578297199,12.1225650714,0.00338251887683
ibbsk5ccq,A,B,55205.1892126,1,512,513,6.0,293.178236669,216.711441236,0.0943846,3.13555,70780.7119088,267.061988939,86579.9111908,295.163184049,105691.299909,338.16209774,108018.648595,348.645234129,110248.50451,360.192572795,113281.094104,373.910953901,118234.996401,415.179959947,121384.12688,446.480533536,123281.017278,495.070372216,125760.160739,681.271919185,126690.815629,783.546705881,12.7846908099,0.00409644370016,12.565935286,0.00370130512396,12.3493800275,0.00347372574499,12.325731277,0.00350424797584,12.3035463582,0.00354708735527,12.2740845387,0.00358360877303,12.2276130197,0.00381241507368,12.199073379,0.0039934703797,12.1822376025,0.00435994052434,12.1606204165,0.00588148836893,12.1526152957,0.00671474608758
ibbsk5cdq,A,A,55205.189907,1,512,513,6.0,294.661496546,220.73084875,0.0493338,3.12018,71594.4884513,269.429422537,87050.3594333,296.728975179,106323.186998,349.695283692,108601.491152,365.437577553,110886.333384,383.150679721,113973.34398,403.561497883,118837.489008,467.557501009,121929.588557,515.365917096,123617.255062,590.004612254,126408.015307,866.017501955,126832.225102,1012.31663761,12.7722791501,0.00408578272401,12.5600517043,0.00370083076565,12.3429081611,0.00357085016189,12.319888655,0.00365331611693,12.2972830681,0.00375146945777,12.2674698993,0.00384429115572,12.2220944591,0.00427160808497,12.1942053552,0.00458898273024,12.1792803865,0.00518186564815,12.1550415943,0.00743809796863,12.1514040969,0.00866555934477
ibbsk5ceq,A,B,55205.1906015,1,512,513,6.0,297.200577403,219.266960149,0.166419,3.14656,70932.472024,266.936595424,86750.9586415,295.082416613,106457.018902,334.095498537,108837.284664,341.912464644,111185.806807,350.431261591,114496.608276,360.981484224,119680.138275,389.80448116,122849.059855,411.477956913,124776.442137,444.272530623,127296.70258,573.55725341,127677.348228,646.59408097,12.7823653874,0.00408576006704,12.5637924193,0.00369299642025,12.3415423746,0.00340726695622,12.3175338804,0.00341072789539,12.2943547464,0.00342186859666,12.2624965715,0.00342296250799,12.2144229202,0.00353618178667,12.1860485329,0.00363650823497,12.1691466309,0.00386568713001,12.1474352407,0.00489180864395,12.1441934907,0.00549829083584
ibbsk5cfq,A,A,55205.1912959,1,512,513,6.0,295.710508793,215.23213402,0.0639062,3.14602,71053.9029267,268.037345301,86384.0499684,295.252714666,105819.753059,344.182512408,108272.596095,357.806490756,110705.054492,373.027095887,114028.323123,390.824749777,118819.482283,444.782010891,122029.762636,485.599013316,123776.111982,549.137606226,126338.122518,787.502597344,127122.619139,915.54716618,12.7805082802,0.00409559691736,12.5683942226,0.00371082245426,12.3480612666,0.00353127788451,12.3231817506,0.00358789316064,12.2990595009,0.00365832906062,12.2669462817,0.00372116698038,12.2222589866,0.00406414688858,12.1933137097,0.00432037920396,12.1778860344,0.00481675090237,12.1556420793,0.00676748674823,12.1489210455,0.00781929734499
ibbsl1f8q,A,A,55254.7862621,1,512,513,6.0,241.655171385,216.458284996,0.106429,3.15162,69056.0927654,263.713257354,86460.4959701,294.871302959,106420.518443,337.991047015,108971.375256,348.117952315,111191.390235,358.860148843,114186.334049,371.654694097,119134.030316,409.869447733,122438.77736,439.085005588,124135.844225,483.806206483,126859.522157,657.440384249,127396.887689,753.078543391,12.8114731208,0.00414610025044,12.5674338198,0.00370275199131,12.3419147002,0.00344817789945,12.3161970463,0.00346835726299,12.2943002253,0.00350399849104,12.2654428006,0.0035337460016,12.2193885403,0.00373524893118,12.1896806655,0.00389349355527,12.1747351206,0.00423139989628,12.1511704479,0.00562656246092,12.1465810802,0.0064178755807
ibbsl1f9q,A,B,55254.7869562,1,512,513,6.0,243.079079418,220.531976185,0.100449,3.14789,67373.7796827,260.553982211,85497.2238101,293.277721236,105929.030166,337.87956076,108471.799195,348.334247925,110666.744764,359.433264242,113850.595691,372.915400451,119028.967004,412.902849755,122456.857444,443.349708652,125838.280993,491.551444653,134540.491743,675.399303241,135181.944949,773.511546091,12.8382508458,0.00419871736184,12.5795980936,0.00372423346346,12.3469406357,0.00346303405725,12.3211860166,0.00348649599048,12.2994352873,0.00352623270721,12.2686398578,0.00355618912499,12.2203464645,0.00376621452125,12.1895203506,0.00393072947266,12.1599461835,0.00424097817648,12.0873455992,0.00545026269807,12.0821813994,0.0062123790711
ibbsl1faq,A,A,55254.787651,1,512,513,6.0,245.658118992,219.040255839,0.182556,3.13964,68148.0368603,261.617341649,86208.8441315,294.116372756,106459.233895,333.44981535,108859.076493,340.95306316,111062.06535,348.860348336,114099.32741,358.585499414,119099.848119,385.563882205,122375.883503,406.130265639,124084.693432,436.570643197,126568.313432,557.957151643,127303.236002,627.16837315,12.8258447519,0.00416795495388,12.5705985704,0.00370405321075,12.3415197845,0.00340061121316,12.3173165118,0.00340047658495,12.2955637622,0.00341032447933,12.2662704151,0.00341208213537,12.2197001068,0.00351475433027,12.1902385253,0.00360312519739,12.1751825958,0.00381984863893,12.1536656434,0.00478614325427,12.1473795175,0.00534877764396
ibbsl1fbq,A,B,55254.7883454,1,512,513,6.0,244.204985113,214.967569372,0.0750904,3.12223,66896.8232568,259.930154514,85394.3899481,293.361981035,105937.162543,341.47760402,108452.840121,353.729259951,110623.382299,366.920172765,113793.46751,382.713605701,118790.998445,430.670634408,121865.29056,466.790546274,123637.327957,523.14555429,126500.028612,737.081243293,127444.935198,853.006862379,12.8459643889,0.00421852869863,12.5809047752,0.00372978954477,12.3468572848,0.0034996428617,12.3213758019,0.00354111388046,12.2998607938,0.00360109430114,12.2691847974,0.00365145882978,12.2225192944,0.00393614932022,12.1947780552,0.00415864512168,12.1791040996,0.00459391300086,12.1542515666,0.00632607845723,12.1461716739,0.00726674268415
